epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,11440.6,0.82261,0.61676,0.93934,0.86572,0.80836,0.87916,0.69218,0.82084,0.63409,0.95096,0.0004085,0.0004085,0.0004085
70,11596,0.82198,0.61451,0.93947,0.87836,0.79865,0.87947,0.69165,0.82344,0.64648,0.95452,0.000396125,0.000396125,0.000396125
71,11749.8,0.82796,0.61816,0.94398,0.86282,0.79925,0.8765,0.68778,0.82841,0.64236,0.95829,0.00038375,0.00038375,0.00038375
72,11904.8,0.81871,0.60988,0.93872,0.87466,0.79719,0.87939,0.69464,0.81381,0.62808,0.94922,0.000371375,0.000371375,0.000371375
73,12058.3,0.8121,0.60272,0.93847,0.87233,0.79915,0.88308,0.69634,0.82461,0.63112,0.95465,0.000359,0.000359,0.000359
74,12213,0.80555,0.5975,0.9354,0.86834,0.81043,0.88435,0.69642,0.82207,0.6308,0.95119,0.000346625,0.000346625,0.000346625
75,12366.1,0.80571,0.5934,0.93835,0.86564,0.80837,0.87708,0.69569,0.81374,0.62942,0.95053,0.00033425,0.00033425,0.00033425
76,12518,0.80413,0.59451,0.93765,0.87666,0.80228,0.87968,0.6913,0.81657,0.63571,0.95084,0.000321875,0.000321875,0.000321875
77,12670.9,0.79857,0.58747,0.93079,0.87588,0.79788,0.87761,0.6943,0.81771,0.63577,0.95348,0.0003095,0.0003095,0.0003095
78,12823.7,0.80432,0.59542,0.93361,0.87504,0.80577,0.87944,0.69364,0.81064,0.62791,0.95015,0.000297125,0.000297125,0.000297125
79,12976.2,0.79894,0.59088,0.93332,0.86833,0.79928,0.8757,0.69059,0.81148,0.63106,0.94914,0.00028475,0.00028475,0.00028475
80,13127.1,0.78946,0.57996,0.93116,0.86042,0.80992,0.87618,0.69028,0.82395,0.63086,0.95795,0.000272375,0.000272375,0.000272375
81,13278.8,0.7953,0.58917,0.92936,0.86693,0.80432,0.87918,0.69172,0.82046,0.6266,0.95127,0.00026,0.00026,0.00026
82,13431,0.79363,0.58442,0.93118,0.87508,0.80619,0.88288,0.6957,0.82183,0.61811,0.95154,0.000247625,0.000247625,0.000247625
83,13582.2,0.79564,0.58638,0.92937,0.85918,0.8122,0.88056,0.69679,0.81769,0.63288,0.95284,0.00023525,0.00023525,0.00023525
84,13734.8,0.77755,0.57236,0.92635,0.87158,0.80161,0.87992,0.69485,0.81534,0.62304,0.95035,0.000222875,0.000222875,0.000222875
85,13887.3,0.78778,0.57419,0.92766,0.86355,0.81093,0.88035,0.69435,0.81856,0.6236,0.95304,0.0002105,0.0002105,0.0002105
86,14040.8,0.78247,0.57339,0.928,0.86725,0.81159,0.88091,0.69745,0.80902,0.62447,0.94824,0.000198125,0.000198125,0.000198125
87,14192.4,0.78349,0.57283,0.92566,0.86455,0.80404,0.87803,0.69344,0.81574,0.63234,0.95676,0.00018575,0.00018575,0.00018575
88,14344,0.78581,0.5737,0.9273,0.8678,0.81324,0.88201,0.69879,0.81308,0.61934,0.95361,0.000173375,0.000173375,0.000173375
89,14497.3,0.77549,0.56564,0.92218,0.87095,0.79887,0.87962,0.69802,0.81858,0.62338,0.95647,0.000161,0.000161,0.000161
90,14650.3,0.77877,0.56814,0.92426,0.86708,0.81043,0.87734,0.69665,0.81439,0.62475,0.95316,0.000148625,0.000148625,0.000148625
91,14808.4,0.74166,0.53174,0.90602,0.86914,0.79774,0.87041,0.68388,0.83901,0.64145,0.96361,0.00013625,0.00013625,0.00013625
92,14959.8,0.73019,0.51973,0.9039,0.85186,0.81323,0.8748,0.6905,0.8323,0.62885,0.96504,0.000123875,0.000123875,0.000123875
93,15110.4,0.7161,0.50164,0.89741,0.87674,0.78956,0.87535,0.68855,0.83263,0.63419,0.96286,0.0001115,0.0001115,0.0001115
94,15261.5,0.7136,0.50299,0.89639,0.862,0.8114,0.87752,0.69343,0.82876,0.63067,0.96151,9.9125e-05,9.9125e-05,9.9125e-05
95,15409.9,0.71275,0.50276,0.89724,0.86597,0.80362,0.87738,0.69381,0.82223,0.62225,0.9569,8.675e-05,8.675e-05,8.675e-05
96,15562.1,0.71478,0.50143,0.89619,0.86755,0.80215,0.87744,0.69469,0.82541,0.62592,0.95943,7.4375e-05,7.4375e-05,7.4375e-05
97,15712.7,0.70622,0.49717,0.89587,0.86167,0.81185,0.87898,0.69484,0.82178,0.62556,0.9558,6.2e-05,6.2e-05,6.2e-05
98,15862.7,0.69925,0.49086,0.89294,0.86242,0.81213,0.87764,0.69325,0.82608,0.62718,0.95824,4.9625e-05,4.9625e-05,4.9625e-05
99,16012.9,0.70305,0.4882,0.89022,0.86916,0.80397,0.87781,0.69326,0.82541,0.62542,0.95945,3.725e-05,3.725e-05,3.725e-05
100,16161,0.69709,0.48657,0.89082,0.87152,0.80023,0.87845,0.69451,0.82392,0.6251,0.95806,2.4875e-05,2.4875e-05,2.4875e-05
